Subject,Department,OA Material,Paper Type,Date,Unique Identifier,Source
Hellenistic Art in Japanese Video Games,Art History and Architecture,Image,Graduate Thesis,2021,AHA_ZC_2021,Art Nerd City Guides
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,Art News
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,Art News
Earthworks,Art History and Architecture,Blog Post,Graduate Thesis,2019,AHA_CC_2019,Art News
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,Art News
Chinese Art,Art History and Architecture,Article,Graduate Thesis,2016,AHA_AM_2016,Art Radar Journal
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_SD_2015,Artangel.org.uk
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_SD_2015,Artangel.org.uk
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_SD_2015,Artangel.org.uk
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_SD_2015,Artangel.org.uk
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_SD_2015,Artangel.org.uk
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_MP_2016,Artchive.com
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,Artezine
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,Artezine
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,Artezine
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,Artezine
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,artfcity.com
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_SD_2015,artfcity.com
Earthworks,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_CC_2019,ArtForum
Contemporary Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_CH_2015,Artistspace.org
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Artmag.com
Earthworks,Art History and Architecture,Blog Post,Graduate Thesis,2019,AHA_CC_2019,Artnet News
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Artnet News
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Artnet News
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Artnet News
Performance Art,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_CP_2015,ArtsBeat
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,ArtsBeat
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Artstor Digital Library
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Artstore Digital Library
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Artstore Digital Library
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Artstore Digital Library
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Artstore Digital Library
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Artstore Digital Library
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Artstore Digital Library
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Artstore Digital Library
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,Artsy.com
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_DJ_2015,Asian Art Museum
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_DJ_2015,Asianinfo.org
German Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_SK_2017,Bauhaus
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,BBC News
Post WWII History,History,Webpage,Graduate Thesis,2015,H_AD_2015,BBC News
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,BBC News
Hellenistic Art in Japanese Video Games,Art History and Architecture,Image,Graduate Thesis,2021,AHA_ZC_2021,Beliver Magazine
Elizabethan Attire,Art History and Architecture,Historic Document,Graduate Thesis,2014,AHA_JN_2014,Bess of Hardwick's Letters
Film,Art History and Architecture,Essay,Graduate Thesis,2019,AHA_LZ_2019,beyondintractability.org
Italian History,History,Historic Document,Graduate Thesis,2017,H_ZB_2017,Biblioteca del Congreso Argentina
Chinese Art,Art History and Architecture,Magazine Article,Graduate Thesis,2016,AHA_AM_2016,Biennial Foundation
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,Blackwallreach.co.uk
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,blouinartinfo.com
Islamic Art,Art History and Architecture,Webpage,Graduate Thesis,2018,AHA_MA_2018,Bomb Magazine
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,Boston Globe
Latin American History,History,Webpage,Graduate Thesis,2016,H_RV_2016,Bracero History Archive
Japanese Art,Art History and Architecture,Encyclopedia Entry,Graduate Thesis,2016,AHA_LS_2016,Britannica
French Art,Art History and Architecture,Encyclopedia Entry,Graduate Thesis,2016,AHA_CB_2016,Britannica
Japanese History,History,Webpage,Graduate Thesis,2015,H_EC_2015,Britannica
Japanese Art,Art History and Architecture,Encyclopedia Entry,Graduate Thesis,2016,AHA_LS_2016,Britannica
Japanese Art,Art History and Architecture,Encyclopedia Entry,Graduate Thesis,2016,AHA_LS_2016,Britannica
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,British Council
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,British Council
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,British Council
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,British Council
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,British Council
European Architecture,Art History and Architecture,Video,Graduate Thesis,2015,AHA_MK_2015,British Council
Elizabethan Attire,Art History and Architecture,Webpage,Graduate Thesis,2014,AHA_JN_2014,British History Online
European History,History,Image,Graduate Thesis,2017,H_ML_2017,British Library Digital Catalogue
Greco-Roman Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_KG_2016,British Museum
Greco-Roman Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_KG_2016,British Museum
Indigenous History,History,Image,Dissertation,2019,H_JF_2019,British Museum
Art Organizations,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_CS_2020,Brooklyn Museum
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Brooklyn Museum
Islamic Art,Art History and Architecture,Magazine Article,Graduate Thesis,2018,AHA_MA_2018,Brown Political Review
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_DJ_2015,Buddhism Guide
Lesbian History,History,Webpage,Graduate Thesis,2014,H_SG_2014,California College of the Arts
Chinese Art,Art History and Architecture,Magazine Article,Graduate Thesis,2016,AHA_AM_2016,Campaign Brief
Chinese Art,Art History and Architecture,Magazine Article,Graduate Thesis,2016,AHA_AM_2016,Campaign Brief
U.S. History,History,Webpage,Graduate Thesis,2019,H_MY_2019,Cannery Life: Del Monte in the Santa Clara Valley
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,cartographic-images.net
Japanese History,History,Webpage,Dissertation,2018,H_HM_2018,Central Research Services
Earthworks,Art History and Architecture,Image,Graduate Thesis,2019,AHA_CC_2019,Charlesrossstudio.com
Earthworks,Art History and Architecture,Video,Graduate Thesis,2019,AHA_CC_2019,Charlesrossstudio.com
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,choueke.com
Contemporary Art,Art History and Architecture,Audio,Graduate Thesis,2015,AHA_CD_2015,Clocktower
Japanese Architecture,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_ZL_2019,Costume Museum
Art Organizations,Art History and Architecture,Image,Graduate Thesis,2020,AHA_CS_2020,critfc.org
U.S. History,History,Video,Graduate Thesis,2014,H_CM_2014,C-Span.org
Chinese Art,Art History and Architecture,Blog Post,Graduate Thesis,2016,AHA_AM_2016,CYARK
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,Dadart.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Daily Mail
Hellenistic Art in Japanese Video Games,Art History and Architecture,Image,Graduate Thesis,2021,AHA_ZC_2021,Dali Paintings
Italian History,History,Image,Graduate Thesis,2017,H_ZB_2017,David Rumsey Map Collection
Italian History,History,Image,Graduate Thesis,2017,H_ZB_2017,David Rumsey Map Collection
Japanese American History,History,Archival Record,Graduate Thesis,2019,H_OW_2019,Densho Digital Repository
U.S. History,History,Image,Dissertation,2020,H_NF_2020,Denver Public Library
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,Dezeen.com
Earthworks,Art History and Architecture,Image,Graduate Thesis,2019,AHA_CC_2019,diaart.org
Earthworks,Art History and Architecture,Image,Graduate Thesis,2019,AHA_CC_2019,diaart.org
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Die Pinakotheken
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_MP_2016,Discoverthelakes.co.uk
English Colonialism,History,Historic Book,Dissertation,2009,H_MK_2009,Documenting the American South
Azeri History,History,Book,Dissertation,2020,H_RH_2020,Earth Policy Institute
Women's History,History,Webpage,Graduate Thesis,2020,H_CS_2020,Economic History Association
Contemporary Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2015,AHA_CD_2015,e-flux
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Eichfelder
Chinese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AM_2016,Ekostories
Chinese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AM_2016,Ekostories
Chinese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AM_2016,Ekostories
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,El Pais
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,El Pais
Culinary History,History,Webpage,Graduate Thesis,2019,H_JF_2019,Encyclopedia of Chicago
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,english-heritage.org.uk
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,english-heritage.org.uk
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,english-heritage.org.uk
Chinese Art,Art History and Architecture,Article,Graduate Thesis,2016,AHA_AM_2016,European Environment Agency
Chinese Art,Art History and Architecture,Article,Graduate Thesis,2016,AHA_AM_2016,European Environment Agency
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,Evening Standard
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Every Person in New York
Italian History,History,Image,Graduate Thesis,2017,H_ZB_2017,FIFA.com
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,flickr.com
Performance Art,Art History and Architecture,Magazine Article,Graduate Thesis,2015,AHA_CP_2015,Frieze
Contemporary Art,Art History and Architecture,Magazine Article,Graduate Thesis,2015,AHA_CD_2015,Frieze
Hellenistic Art in Japanese Video Games,Art History and Architecture,Image,Graduate Thesis,2021,AHA_ZC_2021,From the Archivist's Notebook
Performance Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2015,AHA_CP_2015,generatorskny.tumblr.com
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,generatorskny.tumblr.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Georgetown University
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Getty
Hellenistic Art in Japanese Video Games,Art History and Architecture,Image,Graduate Thesis,2021,AHA_ZC_2021,Getty Villa Museum
Latin American Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_LM_2020,Globo
European History,History,Image,Graduate Thesis,2017,H_ML_2017,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Document,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
American Medicine,History,Historic Book,Dissertation,2013,H_CMS_2013,Google eBook
Chinese Art,Art History and Architecture,Census Data,Graduate Thesis,2019,AHA_YC_2019,gov.cn
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,gov.uk
Indigenous History,History,Webpage,Dissertation,2019,H_JF_2019,Government of Mexico
Latin American Architecture,Art History and Architecture,Article,Graduate Thesis,2019,AHA_JE_2019,grompone.org
Film,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LZ_2019,haaretz.com
African American History,History,Historic Document,Graduate Thesis,2012,H_LB_2012,Hanover College
Hellenistic Art in Japanese Video Games,Art History and Architecture,Image,Graduate Thesis,2021,AHA_ZC_2021,Harvard Art Museums
Oregon History,History,Webpage,Graduate Thesis,2020,H_AP_2020,Harvard Gazette
Azeri History,History,Archival Record,Dissertation,2020,H_RH_2020,Harvard Library
Culinary History,History,Interactive Book,Graduate Thesis,2019,H_JF_2019,HathiTrust
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,HBO
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,HCL Architects
European Architecture,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_MK_2015,Historic England
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_SD_2015,historyofourworld
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,huckmagazine.com
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Huffington Post
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,Huffington Post
Argentinian Art,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LM_2019,Human Rights Watch
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
LGBTQ+ Art,Art History and Architecture,Webpage,Graduate Thesis,2019,AHA_LA_2019,Hyperallergic
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,Hyperallergic
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Hyperallergic
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,Ikea
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_SD_2015,independent.co.uk
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,independent.co.uk
U.S. History,History,Webpage,Graduate Thesis,2018,H_LG_2018,Indiana University Bloomington
Islamic Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2018,AHA_MA_2018,International Journal of Constitutional Law
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,ir.u-gakugei.ac.jp
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,ir.u-gakugei.ac.jp
Japanese History,History,Webpage,Dissertation,2018,H_HM_2018,Japanese Consumers' Co-Operative Union
Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,jmapps.ne.jp
U.S. History,History,Transcript,Dissertation,2018,H_JB_2018,John F. Kennedy Presidential Library
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,johncage.org
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_ML_2015,johncage.org
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,Jordan Schnitzer Museum of Art
Art Organizations,Art History and Architecture,OA Journal Article,Graduate Thesis,2020,AHA_CS_2020,"Journal of Open Innovation: Technology, Market, and Complexity"
Filipino History,History,Historic Document,Dissertation,2013,H_JA_2013,Katipunan: Documents and Studies
Performance Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_CP_2015,Kickstarter
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Kickstarter
Argentinian Art,Art History and Architecture,Newspaper,Graduate Thesis,2019,AHA_LM_2019,La Voz
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,LA Weekly
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_MP_2016,Lakelandcampingbarns.co.uk
Islamic Art,Art History and Architecture,Webpage,Graduate Thesis,2018,AHA_MA_2018,Lalla Essaydi
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,laughingsquid.com
Hellenistic Art in Japanese Video Games,Art History and Architecture,Image,Graduate Thesis,2021,AHA_ZC_2021,Le Gallerie Degli Uffizi
Environmental History,History,Internet Forum,Dissertation,2017,H_MM_2017,Leatherneck.com
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,Library of Congress
U.S. History,History,Transcript,Graduate Thesis,2013,H_JB_2013,Library of Congress
U.S. History,History,Transcript,Dissertation,2018,H_JB_2018,Library of Congress
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,Library of Congress
Culinary History,History,Image,Graduate Thesis,2019,H_JF_2019,Library of Congress
Islamic Art,Art History and Architecture,Video,Graduate Thesis,2018,AHA_MA_2018,LIMA
Earthworks,Art History and Architecture,Blog Post,Graduate Thesis,2019,AHA_CC_2019,Lithub
DEI in Art,Art History and Architecture,Blog Post,Graduate Thesis,2020,AHA_SS_2020,London Review of Books
Chinese Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_DJ_2015,Los Angeles Times
Earthworks,Art History and Architecture,Article,Graduate Thesis,2019,AHA_CC_2019,Los Angeles Times
Performance Art,Art History and Architecture,Article,Graduate Thesis,2015,AHA_CP_2015,Los Angeles Times
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Los Angeles Times
Greco-Roman Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_KG_2016,Louvre.fr
Greco-Roman Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_KG_2016,Louvre.fr
Contemporary Art,Art History and Architecture,OA Journal Article,Graduate Thesis,2015,AHA_CD_2015,LTTR.org
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_SD_2015,luhringaugustine.com
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_DJ_2015,Lungshan.org.tw
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_DJ_2015,Lungshan.org.tw
Chinese Art,Art History and Architecture,Webpage,Graduate Thesis,2015,AHA_DJ_2015,Lungshan.org.tw
French History,History,Webpage,Dissertation,2014,H_EG_2014,Lyon.fr
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,madamepickwickartblog.com
Street Art,Art History and Architecture,Image,Graduate Thesis,2017,AHA_MM_2017,madamepickwickartblog.com
Environmental History,History,Image,Dissertation,2017,H_MM_2017,Maine Memory Network
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Marinaabramopug.tumblr.com
Performance Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CP_2015,Marinaabramopug.tumblr.com
Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,Mauritshuis
Contemporary Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_CH_2015,Meisel Gallery
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Metropolitan Museum of Art
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_LS_2016,Metropolitan Museum of Art
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_LS_2016,Metropolitan Museum of Art
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Metropolitan Museum of Art
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Metropolitan Museum of Art
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Metropolitan Museum of Art
Culinary History,History,Historic Document,Graduate Thesis,2019,H_JF_2019,Michigan State University Digital Repository
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,Minneapolis Institute of Art
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_AP_2016,Minneapolis Institute of Art
Earthworks,Art History and Architecture,Image,Graduate Thesis,2019,AHA_CC_2019,Moca.org
Chinese Art,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_DJ_2015,Monastic-asia.wikidot.com
Chinese Art,Art History and Architecture,Blog Post,Graduate Thesis,2015,AHA_DJ_2015,Monastic-asia.wikidot.com
U.S. History,History,Newspaper,Dissertation,2020,H_NF_2020,Montana Memory Project
European Architecture,Art History and Architecture,Image,Graduate Thesis,2015,AHA_MK_2015,movie-locations.com
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Musees royaux des Beaux-arts de belgique
Asian Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_SK_2016,Museum Cafa
Asian Art,Art History and Architecture,Webpage,Graduate Thesis,2016,AHA_SK_2016,Museum Cafa
Asian Art,Art History and Architecture,Webpage,Graduate Thesis,2016,AHA_SK_2016,Museum Cafa
DEI in Art,Art History and Architecture,Blog Post,Graduate Thesis,2020,AHA_SS_2020,Museum Education Roundtable
Islamic Art,Art History and Architecture,Image,Graduate Thesis,2018,AHA_MA_2018,Museum of Fine Arts Boston
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
