Subject,Discipline,Content Type,Paper Type,Publish Date,Data Set Identifier, Source Location
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Archival Record,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Archival Record,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Archival Record,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Archival Record,Graduate Thesis,2020,AHA_SS_2020,Museum of Modern Art
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,Art News
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,Artsy.com
DEI in Art,Art History and Architecture,Blog Post,Graduate Thesis,2020,AHA_SS_2020,Museum Education Roundtable
DEI in Art,Art History and Architecture,Article,Graduate Thesis,2020,AHA_SS_2020,NPR
DEI in Art,Art History and Architecture,Art Exhibit,Graduate Thesis,2020,AHA_SS_2020,Brooklyn Museum
DEI in Art,Art History and Architecture,Webpage,Graduate Thesis,2020,AHA_SS_2020,The African Center
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_LS_2016,Metropolitan Museum of Art
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_LS_2016,Tokyo National Museum
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_LS_2016,Tokyo National Museum
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_LS_2016,Tokyo National Museum
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_LS_2016,Tokyo National Museum
Japanese Art,Art History and Architecture,Encyclopedia Entry,Graduate Thesis,2016,AHA_LS_2016,Britannica
Japanese Art,Art History and Architecture,Encyclopedia Entry,Graduate Thesis,2016,AHA_LS_2016,Britannica
Japanese Art,Art History and Architecture,Encyclopedia Entry,Graduate Thesis,2016,AHA_LS_2016,Britannica
Japanese Art,Art History and Architecture,Image,Graduate Thesis,2016,AHA_LS_2016,Metropolitan Museum of Art
Film,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LZ_2019,NPR
Film,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LZ_2019,YouTube
Film,Art History and Architecture,Video,Graduate Thesis,2019,AHA_LZ_2019,YouTube
Film,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LZ_2019,haaretz.com
Film,Art History and Architecture,Article,Graduate Thesis,2019,AHA_LZ_2019,New York Times
Film,Art History and Architecture,Essay,Graduate Thesis,2019,AHA_LZ_2019,beyondintractability.org
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Art Institute of Chicago
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Metropolitan Museum of Art
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Metropolitan Museum of Art
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Die Pinakotheken
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,museum-asbach.edu
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Metropolitan Museum of Art
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Metropolitan Museum of Art
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Getty
Baroque Art,Art History and Architecture,Image,Graduate Thesis,2015,AHA_AZ_2015,Musees royaux des Beaux-arts de belgique
